ID,Taxon,Size,,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,13,,
Toll_Road_Bend_1_Pitfall_1,Holometabolous larvae,12,,
Toll_Road_Bend_1_Pitfall_1,Slug/snail,10,slug,
Toll_Road_Bend_1_Pitfall_1,Diptera,2,,
Toll_Road_Bend_1_Pitfall_1,Diptera,2,,
Toll_Road_Bend_1_Pitfall_1,Mite (Acarina),2,Mite (Acarina),2 count
Cliff_4_Pitfall_1,Holometabolous larvae,12,,
Cliff_4_Pitfall_1,Diptera,2,,
Cliff_4_Pitfall_1,Diptera,5,,
Cliff_4_Pitfall_1,Mite (Acarina),1,Mite (Acarina),2 count
Cliff_4_Pitfall_1,Collembola,2,Collembola,6 count
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,4,,
Amherst_15_Pitfall_1,Coleoptera,5,,
Amherst_15_Pitfall_1,Coleoptera,6,,
Amherst_15_Pitfall_1,Collembola,2,Collembola,3 count
Amherst_15_Pitfall_1,Collembola,3,Collembola,3 count
Amherst_15_Pitfall_1,spider,10,,
Amherst_15_Pitfall_1,Mite (Acarina),4,Mite (Acarina),
Amherst_15_Pitfall_1,Diptera,2,,
Amherst_15_Pitfall_1,Diptera,3,,
WCAX_Sign_1_Pitfall_1,Coleoptera,5,,
WCAX_Sign_1_Pitfall_1,Coleoptera,5,Staphylinid,
WCAX_Sign_1_Pitfall_1,Coleoptera,7,Staphylinid,
WCAX_Sign_1_Pitfall_1,spider,7,,
WCAX_Sign_1_Pitfall_1,Diptera,3,,
WCAX_Sign_1_Pitfall_1,Collembola,2,Collembola,2 count
WCAX_Sign_1_Pitfall_1,spider,11,,
Lakeview_9_Pitfall_1,Collembola,2,Collembola,
Lakeview_4_Pitfall_1,Mite (Acarina),1,Mite (Acarina),
Lakeview_4_Pitfall_1,Spider,2,,
Lakeview_4_Pitfall_1,Collembola,2,Collembola,
Long_Trail_North_1_Pitfall_1,ant,5,,
Long_Trail_North_5_Pitfall_1,Diptera,2,,
Long_Trail_North_5_Pitfall_1,Spider,2,,
Long_Trail_North_2_Ground_1,N/A,N/A,,
Long_Trail_North_2_Foliage_1,Diptera,3,,
Long_Trail_North_2_Foliage_1,Diptera,3,,
Long_Trail_North_2_Foliage_2,spider,2,,
Long_Trail_North_2_Foliage_2,spider,2,,
Long_Trail_North_2_Foliage_2,Diptera,5,,
Long_Trail_North_2_Foliage_2,Diptera,5,,
Long_Trail_North_2_Foliage_2,Diptera,3,,
Long_Trail_North_2_Foliage_2,Diptera,3,,
Long_Trail_North_2_Foliage_2,Diptera,1,,
Long_Trail_North_2_Foliage_3,Homoptera/Hemiptera,5,,
Long_Trail_North_2_Foliage_3,Homoptera/Hemiptera,5,,
Long_Trail_North_2_Foliage_3,Homoptera/Hemiptera,5,,
Long_Trail_North_2_Foliage_3,Homoptera/Hemiptera,5,,
Long_Trail_North_2_Foliage_3,Diptera,7,,
Long_Trail_North_2_Foliage_4,Diptera,3,,
Long_Trail_North_2_Foliage_4,Diptera,3,,
Long_Trail_North_2_Foliage_4,Hymenoptera,5,,
Long_Trail_North_3_Ground_1,spider,2,,
Long_Trail_North_3_Foliage_1,Diptera,7,,
Long_Trail_North_3_Foliage_1,Diptera,2,,
Long_Trail_North_3_Foliage_1,spider,5,,
Long_Trail_North_3_Foliage_1,spider,5,,
Long_Trail_North_3_Foliage_2,N/A,N/A,,
Long_Trail_North_3_Foliage_3,Diptera,5,,
Long_Trail_North_3_Foliage_3,Diptera,5,,
Long_Trail_North_3_Foliage_3,Diptera,3,,
Long_Trail_North_3_Foliage_3,spider,5,,
Long_Trail_North_3_Foliage_4,Hymenoptera,3,,
Amherst_7_Ground_1,Hymenoptera,4,,
Amherst_7_Foliage_1,N/A,N/A,,
Amherst_7_Foliage_2,Holometabolous larvae,10,Sawfly larvae,
Amherst_7_Foliage_3,N/A,N/A,,
Amherst_7_Foliage_4,Diptera,7,,
Amherst_24_Ground_1,Lepidoptera adult,10,,
Amherst_24_Ground_1,spider,3,,
Amherst_24_Ground_1,Diptera,3,,
Amherst_24_Foliage_1,Hymenoptera,5,,
Amherst_24_Foliage_1,Diptera,3,,
Amherst_24_Foliage_1,Diptera,3,,
Amherst_24_Foliage_2,Diptera,3,,
Amherst_24_Foliage_3,spider,5,,
Amherst_24_Foliage_3,spider,2,,
Amherst_24_Foliage_3,Coleoptera,11,firefly,
Amherst_24_Foliage_4,Diptera,3,,
Amherst_11_Pitfall_1,spider,1,juvenile,
Amherst_11_Pitfall_1,Hymenoptera,6,ant,
Amherst_11_Pitfall_1,spider,6,lycosidae male,
Amherst_11_Pitfall_1,spider,7,lycosidae male,
Amherst_11_Pitfall_1,spider,7,clubionidae male,
Amherst_11_Pitfall_1,Homoptera/Hemiptera,6,grasshopper nymph,
Amherst_11_Pitfall_1,Holometabolous larvae,3,,
Amherst_11_Pitfall_1,Mite (Acarina),3,,
Amherst_11_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_11_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_11_Pitfall_1,Coleoptera,1,,
Cliff_1_Pitfall_1,Coleoptera,4,Staphylinidae,
Cliff_1_Pitfall_1,Coleoptera,5,Staphylinidae,
Cliff_1_Pitfall_1,Diptera,3,,
Cliff_1_Pitfall_1,Diptera,6,,
Cliff_1_Pitfall_1,Collembola,2,,
Cliff_1_Pitfall_1,Slug/snail,8,,
Cliff_1_Pitfall_1,Mite (Acarina),1,,
Cliff_1_Pitfall_1,Mite (Acarina),1,,
Amherst_7_Pitfall_1,Mite (Acarina),1,,
Amherst_7_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_7_Pitfall_1,spider,2,juvenile,
Amherst_7_Pitfall_1,Diptera,2,,
Amherst_7_Pitfall_1,Collembola,1,estimate = 4000 individuals,
Amherst_2_Pitfall_1,,,no specimens,
WCAX_Sign_2_Pitfall_1,,,no specimens,
Long_Trail_South_2_Pitfall_1,Collembola,3,,
Long_Trail_South_2_Pitfall_1,Collembola,3,,
Long_Trail_South_2_Pitfall_1,Collembola,3,,
Long_Trail_South_2_Pitfall_1,Collembola,1,,
Long_Trail_South_2_Pitfall_1,Collembola,4,,
Long_Trail_South_2_Pitfall_1,Coleoptera,4,Staphylinidae,
Lakeview_3_Pitfall_1,Holometabolous larvae,13,,
Lakeview_3_Pitfall_1,Diptera,3,,
Lakeview_3_Pitfall_1,Diptera,3,,
Lakeview_3_Pitfall_1,Coleoptera,5,weevil,
Long_Trail_North_3_Pitfall_1,Diptera,2,,
Long_Trail_North_3_Pitfall_1,Diptera,3,,
Long_Trail_North_3_Pitfall_1,Coleoptera,5,Staphylinidae,
Long_Trail_North_3_Pitfall_1,Coleoptera,5,weevil,
Long_Trail_North_3_Pitfall_1,Collembola,2,,
Long_Trail_North_3_Pitfall_1,Collembola,2,,
Long_Trail_North_3_Pitfall_1,Collembola,3,,
Long_Trail_North_3_Pitfall_1,Holometabolous larvae,25,,
Long_Trail_North_3_Pitfall_1,Mite (Acarina),1,,
Long_Trail_North_3_Pitfall_1,Mite (Acarina),1,,
Cliff_2_Pitfall_1,Diptera,3,,
Cliff_2_Pitfall_1,Diptera,7,,
Cliff_2_Pitfall_1,Coleoptera,4,Staphylinidae,
Cliff_2_Pitfall_1,Mite (Acarina),1,,
Cliff_2_Pitfall_1,Collembola,2,,
Cliff_2_Pitfall_1,Collembola,2,,
Cliff_2_Pitfall_1,Collembola,2,,
Cliff_2_Pitfall_1,Collembola,2,,
Cliff_2_Pitfall_1,Collembola,2,,
Amherst_4_Pitfall_1,Collembola,2,,
Amherst_4_Pitfall_1,Collembola,2,,
Amherst_4_Pitfall_1,Collembola,2,,
Amherst_4_Pitfall_1,Collembola,2,,
Amherst_4_Pitfall_1,Coleoptera,4,,
Amherst_4_Pitfall_1,Coleoptera,5,,
Amherst_4_Pitfall_1,Holometabolous larvae,13,,
Amherst_4_Pitfall_1,Holometabolous larvae,13,,
Amherst_4_Pitfall_1,Holometabolous larvae,7,,
Amherst_4_Pitfall_1,Holometabolous larvae,8,,
Amherst_4_Pitfall_1,Holometabolous larvae,9,,
Amherst_4_Pitfall_1,Holometabolous larvae,10,,
Amherst_4_Pitfall_1,Holometabolous larvae,9,,
Amherst_4_Pitfall_1,Holometabolous larvae,11,,
Amherst_4_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_4_Pitfall_1,Coleoptera,5,Staphylinidae,
Amherst_4_Pitfall_1,Coleoptera,5,Staphylinidae,
Amherst_4_Pitfall_1,Coleoptera,2,Staphylinidae,
Amherst_4_Pitfall_1,Diptera,4,,
Amherst_4_Pitfall_1,Diptera,7,,
Amherst_5_Ground_1,Hymenoptera,5,ant,
Amherst_5_Foliage_1,Homoptera/Hemiptera,10,,
Amherst_5_Foliage_1,spider,2,,
Amherst_5_Foliage_1,spider,2,,
Amherst_5_Foliage_1,Diptera,1,,
Amherst_5_Foliage_1,Homoptera/Hemiptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Coleoptera,1,,
Amherst_5_Foliage_2,Homoptera/Hemiptera,2,,
Amherst_5_Foliage_2,spider,2,,
Amherst_5_Foliage_2,spider,2,,
Amherst_5_Foliage_2,Diptera,3,,
Amherst_5_Foliage_2,Diptera,2,,
Amherst_5_Foliage_3,N/A,3,some kind of nymph,
Amherst_5_Foliage_3,N/A,3,same kind of nymph ,
Amherst_5_Foliage_3,N/A,3,same kind of nymph ,
Amherst_5_Foliage_3,Holometabolous larvae,4,,
Amherst_5_Foliage_4,Diptera,3,,
Amherst_5_Foliage_4,Homoptera/Hemiptera,8,,
Amherst_5_Foliage_4,spider,2,,
Amherst_11_Ground_1,Hymenoptera,5,,
Amherst_11_Ground_1,Homoptera/Hemiptera,6,,
Amherst_11_Ground_1,Diptera,2,,
Amherst_11_Ground_1,Diptera,3,,
Amherst_11_Foliage_1,Homoptera/Hemiptera,3,,
Amherst_11_Foliage_1,Holometabolous larvae,6,,
Amherst_11_Foliage_1,Holometabolous larvae,6,,
Amherst_11_Foliage_1,Holometabolous larvae,3,,
Amherst_11_Foliage_1,Diptera,2,,
Amherst_11_Foliage_2,Homoptera/Hemiptera,1,aphid,
Amherst_11_Foliage_3,Homoptera/Hemiptera,2,aphid,
Amherst_11_Foliage_3,Homoptera/Hemiptera,2,aphid,
Amherst_11_Foliage_3,Homoptera/Hemiptera,2,aphid,
Amherst_11_Foliage_3,Holometabolous larvae,10,,
Amherst_11_Foliage_3,spider,2,,
Amherst_11_Foliage_3,spider,1,,
Amherst_11_Foliage_4,Coleoptera,8,,
Amherst_11_Foliage_4,Diptera,1,,
Amherst_11_Foliage_4,Holometabolous larvae,10,,
Amherst_11_Foliage_4,Holometabolous larvae,8,,
Amherst_17_Ground_1,spider,6,,
Amherst_17_Ground_1,Hymenoptera,4,ant,
Amherst_17_Ground_1,Hymenoptera,4,ant,
Amherst_17_Ground_1,Homoptera/Hemiptera,2,aphid,
Amherst_17_Ground_1,Homoptera/Hemiptera,1,,
Amherst_17_Ground_1,Diptera,7,,
Amherst_17_Foliage_1,,,no specimens,
Amherst_17_Foliage_2,,,no specimens,
Amherst_17_Foliage_3,Coleoptera,4,,
Amherst_17_Foliage_3,Coleoptera,4,,
Amherst_17_Foliage_4,,,no specimens,
Long_Trail_North_5_Ground_1,Hymenoptera,6,ant,
Long_Trail_North_5_Ground_1,Hymenoptera,4,ant,
Long_Trail_North_5_Ground_1,Hymenoptera,4,ant,
Long_Trail_North_5_Ground_1,Hymenoptera,3,ant,
Long_Trail_North_5_Ground_1,Diptera,4,,
Long_Trail_North_5_Ground_1,Diptera,2,,
Long_Trail_North_5_Foliage_1,,,no specimens,
Long_Trail_North_5_Foliage_2,,,no specimens,
Long_Trail_North_5_Foliage_3,spider,2,,
Long_Trail_North_5_Foliage_3,Mite (Acarina),1,,
Long_Trail_North_5_Foliage_3,spider,1,,
Long_Trail_North_5_Foliage_4,spider,2,,
Long_Trail_North_5_Foliage_4,Homoptera/Hemiptera,2,,
Lakeview_10_Pitfall_1,Diptera,3,,
Lakeview_10_Pitfall_1,Diptera,3,,
Lakeview_10_Pitfall_1,Diptera,3,,
Lakeview_10_Pitfall_1,Diptera,4,,
Lakeview_10_Pitfall_1,Diptera,4,,
Lakeview_10_Pitfall_1,Diptera,4,,
Lakeview_10_Pitfall_1,Coleoptera,4,,
Lakeview_10_Pitfall_1,Collembola,2,,
Lakeview_10_Pitfall_1,Mite (Acarina),1,,
Amherst_13_Pitfall_1,Collembola,3,,
Amherst_13_Pitfall_1,Collembola,2,,
Amherst_13_Pitfall_1,Collembola,2,,
Amherst_13_Pitfall_1,Collembola,2,,
Amherst_13_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_13_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_13_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_13_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_13_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_13_Pitfall_1,Mite (Acarina),1,Trombiculidae,
Amherst_13_Pitfall_1,spider,5,,
Amherst_13_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_13_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),1,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_12_Pitfall_1,Collembola,2,,
Amherst_12_Pitfall_1,Collembola,2,,
Amherst_12_Pitfall_1,Collembola,2,,
Amherst_12_Pitfall_1,spider,1,,
Amherst_12_Pitfall_1,Diptera,3,,
Amherst_12_Pitfall_1,Diptera,4,,
Amherst_12_Pitfall_1,Coleoptera,4,Staphylinidae,
Amherst_12_Pitfall_1,Mite (Acarina),1,,
Lakeview_1_Pitfall_1,Diptera,3,,
Lakeview_1_Pitfall_1,Diptera,3,,
Lakeview_1_Pitfall_1,Diptera,2,,
Lakeview_1_Pitfall_1,Diptera,3,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Collembola,2,,
Toll_Road_Bend_2_Pitfall_1,Mite (Acarina),1,,
Toll_Road_Bend_2_Pitfall_1,Mite (Acarina),1,,
Toll_Road_Bend_2_Pitfall_1,Mite (Acarina),1,,
Toll_Road_Bend_2_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_3_Pitfall_1,Coleoptera,6,Staphylinidae,
Amherst_3_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Mite (Acarina),1,,
Amherst_18_Pitfall_1,Mite (Acarina),1,,
Amherst_18_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_18_Pitfall_1,Mite (Acarina),2,Trombiculidae,
Amherst_18_Pitfall_1,Mite (Acarina),1,Trombiculidae,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Collembola,2,,
Amherst_18_Pitfall_1,Coleoptera,6,Staphylinidae,
Amherst_18_Pitfall_1,Coleoptera,5,Staphylinidae,
Amherst_18_Pitfall_1,Coleoptera,2,,
Amherst_19_Pitfall_1,Mite (Acarina),3,,
Amherst_19_Pitfall_1,Collembola,2,,
Amherst_19_Pitfall_1,Collembola,2,,
Amherst_19_Pitfall_1,spider,2,,
Cliff_5_Pitfall_1,,,depradated (bottom was chewed out of the trap),
